"定点報告疾患 週報告分 年齢別集計表（個別データ）"
"東京都"
"疾病","インフルエンザ"
"集計期間開始週","2019年1週"
"集計期間終了週","2023年52週"
"性別","男性"

"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"年","週","～5ヶ月","～1歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10～14歳","15～19歳","20～29歳","30～39歳","40～49歳","50～59歳","60～69歳","70～79歳","80歳以上","合計","定点数"
"2021","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","406"
"2021","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","406"
"2021","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405"
"2021","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405"
"2021","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405"
"2021","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2021","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2021","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2021","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2021","30","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","409"
"2021","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","399"
"2021","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","383"
"2021","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","397"
"2021","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2021","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2021","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","410"
"2021","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2021","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2021","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","411"
"2021","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2021","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2021","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2021","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2021","46","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","412"
"2021","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2021","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","50","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","412"
"2021","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","411"
"2021","52","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","399"
"2022","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2","404"
"2022","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","411"
"2022","3","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","3","403"
"2022","4","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","407"
"2022","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402"
"2022","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","408"
"2022","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","408"
"2022","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2022","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","407"
"2022","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","409"
"2022","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","403"
"2022","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2022","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2022","14","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","404"
"2022","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2022","16","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","409"
"2022","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400"
"2022","18","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","410"
"2022","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2022","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2022","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2022","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2022","23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","411"
"2022","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2022","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2022","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2022","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2022","28","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","405"
"2022","29","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","410"
"2022","30","0","0","0","0","0","0","0","0","0","0","0","1","1","6","0","1","0","0","0","0","9","406"
"2022","31","0","0","0","0","0","0","0","0","0","0","0","1","2","10","0","0","0","0","0","0","13","405"
"2022","32","0","0","1","0","0","0","0","0","0","0","0","0","0","3","2","1","0","1","0","0","8","380"
"2022","33","0","0","0","0","0","1","0","0","0","0","1","0","0","1","2","0","0","0","0","0","5","399"
"2022","34","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","3","409"
"2022","35","0","0","1","1","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","6","411"
"2022","36","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","411"
"2022","37","0","0","0","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","5","412"
"2022","38","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","4","414"
"2022","39","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","410"
"2022","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2022","41","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","411"
"2022","42","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","413"
"2022","43","0","0","0","0","0","0","0","1","0","0","2","1","1","0","0","2","0","0","0","0","7","412"
"2022","44","0","0","0","0","2","1","2","2","2","2","1","2","1","1","0","0","1","0","0","0","17","410"
"2022","45","0","0","2","0","1","2","4","5","10","6","6","1","3","4","0","0","0","0","0","0","44","411"
"2022","46","0","0","1","1","2","12","7","4","6","1","2","18","9","18","2","0","0","0","0","0","83","412"
"2022","47","0","1","0","0","2","4","4","2","4","2","1","4","4","8","0","3","0","0","0","0","39","411"
"2022","48","0","0","4","1","0","0","2","1","5","6","3","20","5","10","3","0","1","0","0","1","62","410"
"2022","49","0","1","3","2","3","8","9","7","2","3","6","17","18","18","8","3","3","1","0","0","112","409"
"2022","50","1","1","4","12","12","17","16","8","7","10","9","43","43","47","17","16","6","3","1","0","273","411"
"2022","51","0","7","11","16","17","32","33","36","26","24","19","95","57","108","28","17","10","4","2","2","544","412"
"2022","52","1","1","11","20","19","35","35","40","35","32","26","86","70","103","49","25","18","5","6","3","620","387"
